Fitness Score,Car Position
524.6277691821209,"(10, 21)"
524.5254977924343,"(62, 17)"
524.4418348582949,"(24, 22)"
524.4194798929709,"(62, 17)"
524.3101243870422,"(62, 17)"
524.2757651585634,"(77, 18)"
524.2124170483968,"(40, 23)"
524.2084062869902,"(26, 22)"
524.1287149035498,"(77, 18)"
524.0527876999588,"(62, 17)"
524.044250005828,"(56, 24)"
524.0114229334881,"(78, 18)"
524.0079889617207,"(93, 19)"
523.8537312316331,"(41, 23)"
523.8406599630222,"(63, 17)"
523.80579373389,"(93, 19)"
523.690773534997,"(77, 18)"
523.6886506029562,"(93, 19)"
523.6821466829404,"(9, 21)"
523.5799827768102,"(57, 24)"
523.5155607074223,"(62, 17)"
523.4646110488893,"(9, 21)"
523.4300271476399,"(79, 18)"
523.4188012911876,"(24, 22)"
523.4008388247709,"(93, 19)"
523.3869112100806,"(9, 21)"
523.2415888295697,"(40, 23)"
523.2370508492235,"(77, 18)"
523.173132331482,"(62, 17)"
523.1626482826302,"(24, 22)"
523.1317009943094,"(56, 24)"
523.0634200436394,"(25, 22)"
523.0539069308846,"(9, 21)"
523.0087191590391,"(94, 19)"
522.9666724669082,"(93, 19)"
522.9490529022668,"(40, 23)"
522.8990999586728,"(78, 18)"
522.7803218855702,"(64, 17)"
522.7654037730465,"(24, 22)"
522.7536049210773,"(56, 24)"
522.7410054901227,"(41, 23)"
522.6022048578346,"(9, 21)"
522.5588067434555,"(93, 19)"
522.5554069940467,"(10, 21)"
522.5361779216764,"(40, 23)"
522.5009575786352,"(56, 24)"
522.4366216767627,"(62, 17)"
522.4229089823461,"(63, 17)"
522.3513362512989,"(56, 24)"
522.2975730087034,"(92, 19)"
522.2840001813032,"(24, 22)"
522.2568051747922,"(62, 17)"
522.2140455001575,"(9, 21)"
522.2012174036503,"(62, 17)"
522.1785847451135,"(26, 22)"
522.1609438345992,"(77, 18)"
522.1076674301264,"(61, 17)"
522.076842095822,"(8, 21)"
522.0687333219726,"(40, 23)"
522.0432079769561,"(79, 18)"
521.9526673169761,"(77, 18)"
521.9100642587526,"(56, 24)"
521.9097356416979,"(24, 22)"
521.8917087450372,"(77, 18)"
521.8423375567727,"(41, 23)"
521.8241181043829,"(24, 22)"
521.8228393813611,"(93, 19)"
521.8156805435297,"(77, 18)"
521.7047855779463,"(62, 17)"
521.6744514938937,"(40, 23)"
521.6406090166615,"(94, 19)"
521.6400354641421,"(93, 19)"
521.6139037984761,"(40, 23)"
521.608837089431,"(93, 19)"
521.5995519395594,"(57, 24)"
521.5252061276952,"(92, 19)"
521.5048223119503,"(9, 21)"
521.5038210779222,"(56, 24)"
521.4873929145622,"(77, 18)"
521.4507260209606,"(56, 24)"
521.3693259183639,"(92, 19)"
521.3475258005521,"(9, 21)"
521.3096029258196,"(9, 21)"
521.2775945092235,"(10, 21)"
521.2723902868318,"(8, 21)"
521.2053122889511,"(93, 19)"
521.1948122191337,"(24, 22)"
521.1547908394537,"(8, 21)"
521.116469915138,"(24, 22)"
521.0163484879895,"(24, 22)"
520.9976978522523,"(24, 22)"
520.996082786279,"(40, 23)"
520.967202445793,"(40, 23)"
520.9553068434343,"(24, 22)"
520.9476179875785,"(92, 19)"
520.9405597760293,"(26, 22)"
520.9136440526755,"(8, 21)"
520.9013542005425,"(9, 21)"
520.8637144957244,"(56, 24)"
520.8448669816215,"(24, 22)"
520.7765854941225,"(40, 23)"
520.7717907841022,"(40, 23)"
520.7702186524114,"(56, 24)"
520.7657966175259,"(40, 23)"
520.7441249636291,"(40, 23)"
520.6744461971991,"(56, 24)"
520.6610078218646,"(41, 23)"
520.6379149584727,"(56, 24)"
520.6099231335514,"(61, 17)"
520.608053466831,"(56, 24)"
520.5863102893327,"(92, 19)"
520.5739049471719,"(25, 22)"
520.4862428932585,"(57, 24)"
520.4377845023264,"(8, 21)"
520.3276817097569,"(77, 18)"
520.3069099762085,"(24, 22)"
520.2381989942146,"(40, 23)"
520.2310424956369,"(41, 23)"
520.1792970086267,"(56, 24)"
520.0378602408089,"(92, 19)"
520.0166099317833,"(56, 24)"
519.8341667372024,"(8, 21)"
519.6238503027582,"(24, 22)"
519.4213763261197,"(40, 23)"
519.2770152708408,"(56, 24)"
486.48112336741224,"(57, 24)"
486.15353720441954,"(57, 24)"
485.87075237063357,"(57, 24)"
485.63702802290993,"(41, 23)"
485.4643693634739,"(42, 23)"
485.31439632939475,"(42, 23)"
485.2548534303254,"(12, 21)"
485.2445086782894,"(12, 21)"
485.23140347207874,"(26, 22)"
485.21166638400626,"(27, 22)"
485.1979487253083,"(12, 21)"
485.1925549939185,"(11, 21)"
485.1884733052989,"(27, 22)"
482.8703778982012,"(57, 24)"
482.58490920362385,"(57, 24)"
482.2943417527279,"(57, 24)"
482.1003830439275,"(42, 23)"
481.9781350935466,"(42, 23)"
481.85697392497013,"(96, 19)"
481.84411867521436,"(42, 23)"
481.7435602072847,"(12, 21)"
481.73779653771965,"(26, 22)"
481.6832332463759,"(12, 21)"
481.68020274263444,"(11, 21)"
481.6780774859613,"(27, 22)"
481.6651847085053,"(27, 22)"
479.8448999081155,"(57, 24)"
479.5041047329151,"(57, 24)"
479.1965876560861,"(57, 24)"
478.96297991906533,"(42, 23)"
478.7799445726278,"(42, 23)"
478.56959572658167,"(42, 23)"
478.3853485306178,"(42, 23)"
478.20942412841504,"(26, 22)"
478.10418554424416,"(27, 22)"
478.0070538849628,"(27, 22)"
477.9101849856928,"(27, 22)"
477.80390388117166,"(27, 22)"
477.69674027957893,"(11, 21)"
477.657333623619,"(12, 21)"
477.6129720148692,"(12, 21)"
477.5895483418441,"(12, 21)"
477.56247955448373,"(12, 21)"
477.5317445328208,"(12, 21)"
447.60006215151503,"(92, 19)"
447.15600618876704,"(8, 21)"
447.1439929514663,"(7, 21)"
447.0176174652021,"(92, 19)"
446.7271940569072,"(92, 19)"
446.62999459051343,"(23, 22)"
446.62479456836235,"(23, 22)"
446.6191702428068,"(8, 21)"
446.4039814971478,"(7, 21)"
446.2870243097504,"(7, 21)"
446.22492569539344,"(7, 21)"
446.1489431860146,"(23, 22)"
446.0993224127111,"(7, 21)"
446.085272959979,"(39, 23)"
446.07692271537115,"(39, 23)"
445.89723314432524,"(23, 22)"
445.8451250911312,"(92, 19)"
445.75688983728105,"(23, 22)"
445.7510973084643,"(23, 22)"
445.74210615653345,"(7, 21)"
445.7248058580424,"(7, 21)"
445.6940616843322,"(7, 21)"
445.66582721747835,"(92, 19)"
445.6525820643254,"(39, 23)"
445.5848985554709,"(23, 22)"
445.51058665896863,"(55, 24)"
445.50293473555934,"(55, 24)"
445.407599137853,"(8, 21)"
445.35437907096826,"(39, 23)"
445.3368369668352,"(7, 21)"
445.2898600911868,"(23, 22)"
445.26448213140213,"(39, 23)"
445.2402337131179,"(71, 25)"
445.2167184913407,"(39, 23)"
445.2121577699339,"(23, 22)"
445.19696001970783,"(23, 22)"
445.1407304992442,"(55, 24)"
445.06258434895904,"(7, 21)"
445.02314118969326,"(39, 23)"
444.99993057202346,"(92, 19)"
444.99084374702585,"(71, 25)"
444.9592194500185,"(71, 25)"
444.91804690241514,"(23, 22)"
444.8830590882002,"(24, 22)"
444.8003414160518,"(39, 23)"
444.7823145159947,"(55, 24)"
444.75956635981544,"(87, 26)"
444.7107932262117,"(55, 24)"
444.70009902721796,"(7, 21)"
444.6587537898315,"(39, 23)"
444.6583353693187,"(55, 24)"
444.6559203238,"(39, 23)"
444.6460488991031,"(71, 25)"
444.6270944444063,"(7, 21)"
444.61192348565623,"(8, 21)"
444.59885394980387,"(7, 21)"
444.54075025218276,"(23, 22)"
444.4939883740077,"(87, 26)"
444.4809209415512,"(71, 25)"
444.4665300543724,"(55, 24)"
444.45419838625236,"(72, 25)"
444.39611223141327,"(39, 23)"
444.3374770775543,"(3, 28)"
444.3119175272091,"(39, 23)"
444.2892373149283,"(7, 21)"
444.27844810658854,"(55, 24)"
444.26571841353194,"(23, 22)"
444.23718884972465,"(71, 25)"
444.1700658030396,"(71, 25)"
444.16123891084396,"(92, 19)"
444.1594812945111,"(87, 26)"
444.15243355599335,"(23, 22)"
444.1191220365119,"(71, 25)"
444.1007196457967,"(23, 22)"
444.0850201374143,"(55, 24)"
444.07712948518605,"(23, 22)"
444.07683324356447,"(3, 28)"
444.04013522754457,"(55, 24)"
444.0083827734495,"(87, 26)"
444.0083701266208,"(88, 26)"
444.00758940170215,"(39, 23)"
443.9724828436349,"(7, 21)"
443.9720021963773,"(92, 19)"
443.9666785002114,"(3, 28)"
443.95481001384246,"(7, 21)"
443.9369370993513,"(71, 25)"
443.9274455141773,"(8, 21)"
443.89721493484024,"(55, 24)"
443.8684109751525,"(7, 21)"
443.79886863483176,"(71, 25)"
443.78032752804745,"(23, 22)"
443.7662643053023,"(72, 25)"
443.7545486903135,"(39, 23)"
443.75409145027186,"(3, 28)"
443.74089904846323,"(55, 24)"
443.73598000721904,"(71, 25)"
443.7169655017967,"(8, 21)"
443.7125558955106,"(3, 28)"
443.69846662502493,"(87, 26)"
443.67267902245123,"(92, 19)"
443.6528100602762,"(92, 19)"
443.6511956185725,"(23, 22)"
443.6492439402819,"(87, 26)"
443.6308623848994,"(19, 29)"
443.60469175931553,"(39, 23)"
443.6002953461624,"(23, 22)"
443.5801547842239,"(4, 28)"
443.5584510703896,"(3, 28)"
443.5482182909969,"(71, 25)"
443.53656393384273,"(92, 19)"
443.53655851969245,"(39, 23)"
443.53516672375196,"(71, 25)"
443.506409509133,"(39, 23)"
443.45586730295054,"(23, 22)"
443.43771014348687,"(55, 24)"
443.4280719827338,"(87, 26)"
443.41878722344813,"(23, 22)"
443.40380249261267,"(22, 22)"
443.3958402011078,"(3, 28)"
443.3869630192234,"(71, 25)"
443.3832201337203,"(35, 30)"
443.38109143587866,"(23, 22)"
443.3791794810943,"(19, 29)"
443.3214748189792,"(87, 26)"
443.302233317854,"(39, 23)"
443.2886480652028,"(73, 25)"
443.28149401721396,"(23, 22)"
443.27910114104816,"(87, 26)"
443.2718685332099,"(3, 28)"
443.2578476408719,"(87, 26)"
443.2421375843067,"(19, 29)"
443.2296216763023,"(39, 23)"
443.22716727898074,"(71, 25)"
443.2237934113716,"(4, 28)"
443.2210883451727,"(55, 24)"
443.2210875764212,"(7, 21)"
443.22074744126843,"(8, 21)"
443.2162299760978,"(3, 28)"
443.1317804728849,"(35, 30)"
443.12817199033134,"(7, 21)"
443.1074266585118,"(8, 21)"
443.0751297626731,"(87, 26)"
443.051443166532,"(19, 29)"
443.0484751052589,"(87, 26)"
443.04192918720065,"(55, 24)"
443.03952020117697,"(3, 28)"
442.9858033592854,"(35, 30)"
442.97619444082665,"(55, 24)"
442.9718137690831,"(39, 23)"
442.96233479341123,"(55, 24)"
442.94682464066824,"(20, 29)"
442.9299496275413,"(39, 23)"
442.9221657602931,"(87, 26)"
442.90877696135317,"(39, 23)"
442.90755620850064,"(55, 24)"
442.89782420247775,"(71, 25)"
442.8906178351015,"(3, 28)"
442.8881110014464,"(3, 28)"
442.87106766597805,"(39, 23)"
442.86788216677985,"(39, 23)"
442.86525071713777,"(3, 28)"
442.8536922829938,"(3, 28)"
442.8460167171364,"(7, 21)"
442.844287776384,"(72, 25)"
442.835251553949,"(7, 21)"
442.8349339285534,"(3, 28)"
442.81595297631986,"(92, 19)"
442.80057234675274,"(35, 30)"
442.7891795150259,"(89, 26)"
442.7520680574704,"(87, 26)"
442.6993938582123,"(23, 22)"
442.6895242420918,"(23, 22)"
442.6859463472882,"(71, 25)"
442.6662490715093,"(55, 24)"
442.664623690115,"(3, 28)"
442.6605569444594,"(3, 28)"
442.65943662198106,"(36, 30)"
442.62492382382345,"(3, 28)"
442.6072267847931,"(23, 22)"
442.5662032577003,"(24, 22)"
442.56227717991794,"(19, 29)"
442.54272313222236,"(3, 28)"
442.538279974589,"(19, 29)"
442.53322414871946,"(55, 24)"
442.52891118873004,"(23, 22)"
442.5188823301172,"(55, 24)"
442.5152238461762,"(19, 29)"
442.5145089025855,"(55, 24)"
442.49916768310277,"(19, 29)"
442.4984231769311,"(72, 25)"
442.4931903030402,"(71, 25)"
442.4883317812005,"(3, 28)"
442.4450120013266,"(7, 21)"
442.4331134821988,"(71, 25)"
442.41231542178554,"(71, 25)"
442.40969939680025,"(87, 26)"
442.383056263555,"(5, 28)"
442.3545281778825,"(23, 22)"
442.34729379268515,"(88, 26)"
442.3427105979213,"(55, 24)"
442.3306211325817,"(19, 29)"
442.3291627706377,"(35, 30)"
442.3173973430396,"(19, 29)"
442.3142940512625,"(3, 28)"
442.30013371017594,"(55, 24)"
442.2915572071904,"(55, 24)"
442.288522636064,"(92, 19)"
442.287868698873,"(19, 29)"
442.2691145854005,"(19, 29)"
442.2604379814401,"(35, 30)"
442.23697956973143,"(72, 25)"
442.23471547696784,"(35, 30)"
442.2057953742273,"(87, 26)"
442.1968947335172,"(19, 29)"
442.1763882145019,"(71, 25)"
442.1692325692775,"(23, 22)"
442.1433104516879,"(39, 23)"
442.14129778856295,"(39, 23)"
442.13995458703556,"(3, 28)"
442.11991015199374,"(71, 25)"
442.10660496990903,"(71, 25)"
442.0860548465468,"(71, 25)"
442.0829828900315,"(35, 30)"
442.08143378678955,"(35, 30)"
442.07155881402525,"(71, 25)"
442.0679749857381,"(39, 23)"
442.0512381181593,"(20, 29)"
442.0490658717691,"(35, 30)"
442.0249094083128,"(87, 26)"
442.015312975309,"(35, 30)"
442.010965694291,"(39, 23)"
442.01094686395334,"(3, 28)"
441.9964085372589,"(87, 26)"
441.9843208882967,"(23, 22)"
441.9668988800628,"(8, 21)"
441.94723180797683,"(87, 26)"
441.93908983437586,"(3, 28)"
441.9356183910207,"(35, 30)"
441.930042799321,"(87, 26)"
441.92276143719835,"(4, 28)"
441.8205088279106,"(87, 26)"
441.80374965632404,"(19, 29)"
441.8029494258295,"(71, 25)"
441.78251852924126,"(3, 28)"
441.7739578769224,"(71, 25)"
441.77382095817154,"(39, 23)"
441.76437837200524,"(87, 26)"
441.7643154622058,"(39, 23)"
441.7570671359503,"(20, 29)"
441.7548231463331,"(88, 26)"
441.74810629754865,"(71, 25)"
441.65202830791833,"(19, 29)"
441.64663744029224,"(72, 25)"
441.63421453973694,"(87, 26)"
441.6285833246891,"(87, 26)"
441.62530176528116,"(19, 29)"
441.60837440100465,"(87, 26)"
441.6068203150489,"(3, 28)"
441.5834173344014,"(55, 24)"
441.5780120652545,"(55, 24)"
441.5704550736222,"(3, 28)"
441.5674889184641,"(20, 29)"
441.56327605716166,"(35, 30)"
441.54481009213214,"(3, 28)"
441.5187794523257,"(23, 22)"
441.5157462833874,"(3, 28)"
441.5077704410279,"(55, 24)"
441.50734875550125,"(3, 28)"
441.50477527275024,"(36, 30)"
441.44577521622045,"(55, 24)"
441.4421035900503,"(3, 28)"
441.42079894568155,"(3, 28)"
441.41946828913444,"(39, 23)"
441.41149688988133,"(55, 24)"
441.4108670131645,"(35, 30)"
441.36111256984447,"(35, 30)"
441.32506650080074,"(87, 26)"
441.3229839418822,"(36, 30)"
441.2951962745283,"(73, 25)"
441.2903009511427,"(88, 26)"
441.2865096467525,"(87, 26)"
441.28294347317893,"(3, 28)"
441.26648208983767,"(87, 26)"
441.25176352869715,"(19, 29)"
441.2338551550219,"(72, 25)"
441.2321564989975,"(3, 28)"
441.2140716646466,"(3, 28)"
441.21208746420785,"(3, 28)"
441.21146636490056,"(55, 24)"
441.2065206835295,"(19, 29)"
441.1784075955044,"(3, 28)"
441.169972310433,"(19, 29)"
441.15425042739236,"(72, 25)"
441.15041444809304,"(19, 29)"
441.1193696661032,"(87, 26)"
441.0983917170118,"(19, 29)"
441.0656820627797,"(71, 25)"
441.0405161284534,"(35, 30)"
441.0386618173026,"(7, 21)"
441.03831111899154,"(71, 25)"
441.0107120550505,"(39, 23)"
441.00851807569416,"(71, 25)"
440.97407116129204,"(71, 25)"
440.9595348979259,"(35, 30)"
440.9305847275626,"(35, 30)"
440.9296422824061,"(71, 25)"
440.92598361120304,"(35, 30)"
440.9048003316198,"(35, 30)"
440.90207767781953,"(3, 28)"
440.8971199989147,"(3, 28)"
440.8962325821273,"(19, 29)"
440.8850838826453,"(19, 29)"
440.8706454507496,"(19, 29)"
440.86994080125197,"(3, 28)"
440.86944137095566,"(55, 24)"
440.8692477412882,"(3, 28)"
440.85852308160946,"(4, 28)"
440.8410373992283,"(3, 28)"
440.8358977326935,"(35, 30)"
440.8306298309667,"(89, 26)"
440.7380314885898,"(87, 26)"
440.708512437486,"(87, 26)"
440.6862461377605,"(23, 22)"
440.6860599333899,"(72, 25)"
440.6649168022734,"(71, 25)"
440.6572349223218,"(88, 26)"
440.65003647453983,"(35, 30)"
440.6434558972511,"(35, 30)"
440.642242126043,"(35, 30)"
440.5769143931108,"(19, 29)"
440.5749336447358,"(87, 26)"
440.5744630135803,"(87, 26)"
440.5624685312892,"(19, 29)"
440.5446524106783,"(87, 26)"
440.5283445462834,"(19, 29)"
440.5263872418563,"(3, 28)"
440.5198366746321,"(72, 25)"
440.5091793525208,"(55, 24)"
440.50148496105226,"(20, 29)"
440.4898666930343,"(71, 25)"
440.48092634618644,"(71, 25)"
440.4744294964975,"(19, 29)"
440.45480548639233,"(5, 28)"
440.45201094945054,"(55, 24)"
440.43772329100426,"(87, 26)"
440.37517975290456,"(72, 25)"
440.34111473100273,"(3, 28)"
440.3347843886787,"(35, 30)"
440.3324392954962,"(35, 30)"
440.3285554364752,"(72, 25)"
440.32534592982887,"(71, 25)"
440.2930117572965,"(3, 28)"
440.2826228187159,"(35, 30)"
440.25264127278535,"(39, 23)"
440.24805256146385,"(36, 30)"
440.2477780141765,"(3, 28)"
440.2438037314348,"(4, 28)"
440.2362026518259,"(73, 25)"
440.224150007895,"(35, 30)"
440.191353349388,"(87, 26)"
440.18247295563566,"(87, 26)"
440.15740550934004,"(3, 28)"
440.1550696808094,"(19, 29)"
440.1375495578997,"(3, 28)"
440.1217252461499,"(21, 29)"
440.0632502815151,"(72, 25)"
440.0372728167939,"(87, 26)"
440.0212438157772,"(87, 26)"
440.0157497543306,"(71, 25)"
440.0058163838641,"(3, 28)"
439.9764760673843,"(87, 26)"
439.9664881083014,"(3, 28)"
439.9561687912752,"(19, 29)"
439.9371558827247,"(19, 29)"
439.93571110344965,"(71, 25)"
439.9281615090248,"(35, 30)"
439.89404973148834,"(36, 30)"
439.88287016195363,"(88, 26)"
439.85519758567216,"(4, 28)"
439.8477795076286,"(87, 26)"
439.82518267950485,"(87, 26)"
439.82117819984626,"(55, 24)"
439.7766705434331,"(3, 28)"
439.7737285719527,"(89, 26)"
439.77317903005354,"(3, 28)"
439.7714918315077,"(3, 28)"
439.75437211160926,"(3, 28)"
439.75174457890665,"(72, 25)"
439.74632976825615,"(35, 30)"
439.7112650594952,"(35, 30)"
439.6742326249673,"(88, 26)"
439.64536552182045,"(3, 28)"
439.6251608060499,"(19, 29)"
439.6245798211579,"(3, 28)"
439.61571584331523,"(3, 28)"
439.5649549300912,"(3, 28)"
439.5221101033704,"(87, 26)"
439.50212601140316,"(20, 29)"
439.4570165268981,"(87, 26)"
439.4478906861152,"(19, 29)"
439.44124357965256,"(19, 29)"
439.43977265715347,"(19, 29)"
439.4391828080621,"(3, 28)"
439.43767680599893,"(4, 28)"
439.4298309465035,"(3, 28)"
439.39969146363654,"(19, 29)"
439.3989947235091,"(71, 25)"
439.3921036457785,"(35, 30)"
439.3822306037798,"(5, 28)"
439.3225111516849,"(19, 29)"
439.28031640865873,"(88, 26)"
439.2686306318633,"(3, 28)"
439.25394567767717,"(88, 26)"
439.25058686296063,"(3, 28)"
439.24535838199864,"(36, 30)"
439.2337553733153,"(19, 29)"
439.2152887121432,"(35, 30)"
439.19766899309957,"(35, 30)"
439.17159760981144,"(35, 30)"
439.13485962854463,"(19, 29)"
439.0993917439583,"(20, 29)"
439.0944420376291,"(3, 28)"
439.07860474740954,"(3, 28)"
439.0695685542308,"(21, 29)"
439.0517443479911,"(35, 30)"
439.0514586643893,"(3, 28)"
439.0386331559915,"(71, 25)"
439.0266000000032,"(3, 28)"
439.01264141405164,"(87, 26)"
438.96797712088863,"(35, 30)"
438.9039586122431,"(19, 29)"
438.8978035570544,"(19, 29)"
438.8829488228532,"(35, 30)"
438.8507660396698,"(36, 30)"
438.84860810647865,"(36, 30)"
438.84852148345897,"(4, 28)"
438.83263344981356,"(4, 28)"
438.7409616289098,"(3, 28)"
438.72786278026257,"(19, 29)"
438.7146859602957,"(19, 29)"
438.6876307623744,"(19, 29)"
438.6780569566439,"(3, 28)"
438.6722998391184,"(35, 30)"
438.63252270207664,"(35, 30)"
438.59305895616234,"(87, 26)"
438.4951080592618,"(20, 29)"
438.47751640046147,"(35, 30)"
438.4717856948837,"(35, 30)"
438.46169545489414,"(4, 28)"
438.4538327696896,"(35, 30)"
438.40683406121883,"(19, 29)"
438.37791759772745,"(19, 29)"
438.24766184626367,"(35, 30)"
438.20504525935786,"(3, 28)"
438.1682181805941,"(35, 30)"
438.1637512194821,"(35, 30)"
438.0843390173429,"(20, 29)"
438.0221086129224,"(35, 30)"
437.8926708348421,"(19, 29)"
437.83866895936046,"(36, 30)"
437.6883991503685,"(35, 30)"
436.9514497144491,"(92, 19)"
436.748027769303,"(7, 21)"
436.4959387441585,"(23, 22)"
436.1806933941592,"(39, 23)"
435.8469292366816,"(39, 23)"
435.5068102312346,"(55, 24)"
435.20525512908495,"(71, 25)"
434.9396956716757,"(87, 26)"
434.72540684989417,"(3, 28)"
434.53499379439216,"(3, 28)"
434.407219952424,"(19, 29)"
434.38599024204353,"(35, 30)"
431.44371982145407,"(35, 30)"
431.11003875042275,"(35, 30)"
430.8005095700492,"(19, 29)"
430.54769906243746,"(19, 29)"
430.26331845163173,"(19, 29)"
430.0839171295691,"(3, 28)"
429.9250263708101,"(3, 28)"
429.82199775520155,"(7, 21)"
429.81985461199724,"(23, 22)"
429.8072142533798,"(7, 21)"
429.7997074613698,"(87, 26)"
429.7969369319597,"(23, 22)"
429.7867461959885,"(39, 23)"
429.71857909275855,"(39, 23)"
429.6883271778201,"(87, 26)"
429.67886124646463,"(55, 24)"
429.6702116532128,"(71, 25)"
429.6677377111135,"(71, 25)"
429.6425521644924,"(71, 25)"
429.63915220137596,"(55, 24)"
427.3066330133267,"(35, 30)"
426.9560889071104,"(35, 30)"
426.59040985107225,"(35, 30)"
426.3201389185353,"(19, 29)"
426.0501834984263,"(19, 29)"
425.8360355520764,"(3, 28)"
425.66976441113275,"(3, 28)"
425.5746410316004,"(87, 26)"
425.4648386294298,"(87, 26)"
425.378714256475,"(87, 26)"
425.36567108543693,"(23, 22)"
425.3505603964767,"(23, 22)"
425.33743602002033,"(7, 21)"
425.32786473838377,"(39, 23)"
425.31639789204576,"(71, 25)"
425.2933072669672,"(7, 21)"
425.29118551866827,"(39, 23)"
425.289725205582,"(39, 23)"
425.2851269165206,"(55, 24)"
425.2663843434345,"(71, 25)"
425.26079061095135,"(55, 24)"
416.4278171616767,"(35, 30)"
415.9716101185858,"(35, 30)"
415.5102978386292,"(35, 30)"
415.0210280466123,"(35, 30)"
414.5429509644439,"(35, 30)"
414.0340360515928,"(35, 30)"
413.5472437371892,"(35, 30)"
413.13749223742525,"(19, 29)"
412.74297371159435,"(19, 29)"
412.34043682698024,"(19, 29)"
411.9139279051084,"(19, 29)"
411.49759837411744,"(19, 29)"
411.4459014556343,"(35, 30)"
411.31377853444,"(35, 30)"
411.0557586703606,"(19, 29)"
410.99319080665987,"(35, 30)"
410.8704379627572,"(35, 30)"
410.65620863996065,"(19, 29)"
410.51016976429304,"(35, 30)"
410.3953463989188,"(35, 30)"
410.22459054411996,"(19, 29)"
410.05815996984376,"(35, 30)"
409.94350891065756,"(35, 30)"
409.8400718824775,"(19, 29)"
409.5700881572778,"(35, 30)"
409.432952463969,"(19, 29)"
409.4277911322311,"(35, 30)"
409.2041266845512,"(19, 29)"
409.115361410264,"(3, 28)"
408.9249530708665,"(35, 30)"
408.844440946869,"(3, 28)"
408.8306200040644,"(19, 29)"
408.59335039751807,"(3, 28)"
408.43809443411,"(19, 29)"
408.43242946854946,"(35, 30)"
408.2762633886914,"(3, 28)"
408.0399897567791,"(19, 29)"
408.018616584554,"(4, 28)"
407.96321784131254,"(19, 29)"
407.7469602945466,"(4, 28)"
407.6647771062677,"(19, 29)"
407.5882127051716,"(19, 29)"
407.51032387861704,"(4, 28)"
407.32843317944304,"(88, 26)"
407.24488768954444,"(19, 29)"
407.2043914769278,"(19, 29)"
407.17957180718145,"(88, 26)"
407.043022171593,"(88, 26)"
406.92661474881237,"(88, 26)"
406.8113926490006,"(88, 26)"
406.81036116144173,"(19, 29)"
406.79497440917805,"(19, 29)"
